Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-O-U-0107,Jamia Hamdard,New Delhi,Delhi,48.02,57.82,27.62,69.75,60.64,23.67,2021,41
IR-O-U-0098,Delhi Technological University,New Delhi,Delhi,48.01,54.52,29.82,65.95,59.25,36.07,2021,42
IR-O-U-0136,Gujarat University,Ahmedabad,Gujarat,47.6,64.76,15.7,81.28,56.13,15.9,2021,43
IR-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,47.37,54.37,29.63,70.28,52.7,28.41,2021,44
IR-O-U-0052,Gauhati University,Guwahati,Assam,47.35,55.17,19.05,83.56,58.4,25.34,2021,45
IR-O-U-0056,Tezpur University,Tezpur,Assam,47.27,58.32,30.02,61.65,52.17,32.14,2021,46
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,47.17,64.83,18.35,61.13,64.73,35.23,2021,47
IR-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,46.97,60.49,19.51,77.03,50.12,25.52,2021,48
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,46.74,65.15,14.45,63.29,61.56,40.41,2021,49
IR-O-U-0458,Kalasalingam Academy of Research and Higher Education,Srivilliputtur,Tamil Nadu,46.52,56.74,21.81,65.2,73.06,26.14,2021,50
IR-O-U-0446,Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,46.44,55.4,24.41,67.59,67.94,21.9,2021,51
IR-O-U-0747,Chandigarh University,Mohali,Punjab,46.15,57.48,14.24,63.4,75.44,44.23,2021,52
IR-O-U-0376,Guru Nanak Dev University,Amritsar,Punjab,45.67,40.78,28.63,76.11,53.77,42.52,2021,53
IR-O-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,45.61,51.21,19.87,79.19,50.61,33.9,2021,54
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,45.44,63.31,14.77,63.13,60.92,32.97,2021,55
IR-O-U-0642,Shiv Nadar University,Dadri,Uttar Pradesh,45.0,59.5,19.37,63.5,59.14,27.3,2021,56
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,44.63,54.74,29.92,53.67,47.8,37.19,2021,57
IR-O-U-0369,Pondicherry University,Puducherry,Pondicherry,44.36,39.94,30.1,72.4,58.18,30.52,2021,58
IR-O-U-0341,North Eastern Hill University,Shillong,Meghalaya,44.24,55.53,16.31,74.61,51.63,26.14,2021,59
IR-O-U-0251,Calicut University,Malappuram,Kerala,44.13,63.32,16.64,63.32,54.77,20.01,2021,60
IR-O-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,44.05,64.06,10.35,60.07,66.19,31.02,2021,61
IR-O-U-0379,Lovely Professional University,Phagwara,Punjab,43.33,47.55,27.51,63.87,65.97,14.49,2021,62
IR-O-U-0463,Madurai Kamaraj University,Madurai,Tamil Nadu,43.32,61.71,24.77,57.68,48.43,10.04,2021,63
IR-O-U-0589,Visva Bharati,Santiniketan,West Bengal,42.76,49.51,26.16,73.81,36.58,16.35,2021,64
IR-O-U-0498,Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,42.63,47.93,15.81,71.24,71.6,20.97,2021,65
IR-O-U-0195,University of Jammu,Jammu,Jammu and Kashmir,42.52,49.65,17.53,72.91,45.77,32.01,2021,66
IR-O-U-0011,Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,42.13,49.3,14.93,69.39,56.83,32.97,2021,67
IR-O-I-1361,Bharati Vidyapeeth,Pune,Maharashtra,42.1,54.05,11.21,65.27,56.98,37.74,2021,68
IR-O-U-0215,Bangalore University,Bangalore,Karnataka,41.98,53.29,16.54,65.15,57.16,22.8,2021,69
IR-O-U-0464,Manonmaniam Sundaranar University,Tirunelveli,Tamil Nadu,41.67,55.3,19.43,59.29,50.68,23.23,2021,70
IR-O-U-0318,Mumbai University,Mumbai,Maharashtra,41.56,49.58,19.08,78.35,47.78,5.23,2021,71
IR-O-U-0321,"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,41.47,63.3,3.49,63.55,62.15,25.02,2021,72
IR-O-U-0147,Pandit Deendayal Petroleum University,Gandhinagar,Gujarat,41.38,56.94,15.43,61.13,49.4,25.02,2021,73
IR-O-U-0470,Periyar University,Salem,Tamil Nadu,41.38,51.4,22.43,60.04,52.69,19.52,2021,73
IR-O-U-0444,Avinashilingam Institute for Home Science & Higher Education for Women,Coimbatore,Tamil Nadu,41.24,61.3,3.62,64.37,58.87,30.09,2021,75
IR-O-U-0298,Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Maharashtra,41.14,41.21,13.84,84.71,55.89,20.97,2021,76
IR-O-U-0239,NITTE,Mangaluru,Karnataka,41.04,60.34,7.25,57.87,67.37,24.51,2021,77
IR-O-I-1280,Maharshi Dayanand University,Rohtak,Haryana,41.03,47.73,16.05,69.91,51.65,27.44,2021,78
IR-O-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,40.79,48.12,22.64,64.22,52.45,14.81,2021,79
IR-O-U-0370,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,40.42,60.99,8.04,51.9,73.35,20.01,2021,80
IR-O-U-0232,Kuvempu University,Shimoga,Karnataka,40.4,50.59,14.06,70.94,50.1,18.0,2021,81
IR-O-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,40.37,53.4,21.81,60.13,53.42,4.35,2021,82
IR-O-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,40.2,41.22,30.31,51.98,52.25,31.19,2021,83
IR-O-U-0372,Central University of Punjab,Bathinda,Punjab,39.99,51.13,17.39,53.26,62.1,25.74,2021,84
IR-O-U-0569,The University of Burdwan,Bardhaman,West Bengal,39.98,43.91,19.82,69.71,49.16,20.01,2021,85
IR-O-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,39.86,47.86,26.71,54.55,50.95,14.81,2021,86
IR-O-U-0366,Utkal University,Bhubaneswar,Odisha,39.8,41.99,13.78,72.66,50.52,34.8,2021,87
IR-O-U-0162,Guru Jambheshwar University of Science and Technology,Hisar,Haryana,39.66,54.01,15.61,56.44,47.85,26.97,2021,88
