Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-2-O-OD-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,43.15,76.37,8.25,56.74,62.9,1.22,2018,79
IR-6-O-OEMALP-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,42.99,48.75,30.1,62.95,62.11,5.4,2018,80
IR-1-O-O-U-0463,Madurai Kamraj University,Madurai,Tamil Nadu,42.98,61.57,28.03,49.87,45.12,16.18,2018,81
IR-6-O-OEMAPC-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,42.8,65.29,12.61,63.9,65.69,0.81,2018,82
IR-2-O-EM-U-0020,Koneru Lakshmaiah Education Foundation University,Vaddeswaram,Andhra Pradesh,42.78,65.81,15.23,62.65,59.43,0.0,2018,83
IR-1-O-O-U-0225,KLE Academy of Higher Education and Research,Belagavi,Karnataka,42.76,74.67,11.37,50.08,66.52,2.79,2018,84
IR-1-O-O-U-0246,University of Agricultural Sciences,Dharwad,Karnataka,42.55,73.71,2.64,70.63,54.04,1.22,2018,85
IR-3-O-OEM-U-0369,Pondicherry University,Puducherry,Pondicherry,42.36,46.64,26.49,69.92,49.6,14.76,2018,86
IR-1-O-O-U-0376,Guru Nanak Dev University,Amritsar,Punjab,42.36,44.09,31.78,70.3,48.22,7.17,2018,86
IR-1-O-O-U-0341,North Eastern Hill University,Shillong,Meghalaya,42.34,64.85,13.43,70.21,43.1,5.03,2018,88
IR-1-O-D-U-0036,Sri Venkateswara Institute of Medical Sciences,Tirupati,Andhra Pradesh,42.33,77.09,3.0,64.64,53.34,0.41,2018,89
IR-2-O-OE-U-0507,Dayalbagh Educational Institute,Agra,Uttar Pradesh,41.95,64.14,5.05,69.03,61.36,12.38,2018,90
IR-4-O-OEMP-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,41.88,47.08,14.16,82.05,66.66,4.3,2018,91
IR-1-O-O-U-0487,Tamil Nadu Veterinary & Animal Sciences University,Chennai,Tamil Nadu,41.73,74.76,7.95,58.9,47.51,3.93,2018,92
IR-1-O-O-I-1361,Bharati Vidyapeeth,Pune,Maharashtra,41.71,58.92,16.06,61.04,55.26,14.76,2018,93
IR-1-O-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,41.63,57.01,29.21,48.45,34.45,26.3,2018,94
